time,wx,wy,wz
0.008934974670410156,-0.07,-0.16,0.34
0.022112131118774414,0.09,-0.19,0.33
0.028457164764404297,0.19,-0.25,0.35
0.043990135192871094,0.21,-0.35,0.41
0.047628164291381836,0.19,-0.42,0.5
0.057662010192871094,0.15,-0.44,0.62
0.06742525100708008,0.11,-0.37,0.74
0.07756710052490234,0.07,-0.33,0.85
0.0874490737915039,0.02,-0.27,0.94
0.09830307960510254,-0.07,-0.2,0.98
0.10865616798400879,-0.19,-0.26,1.0
0.1215829849243164,-0.31,-0.35,1.02
0.12960410118103027,-0.39,-0.41,1.08
0.1439652442932129,-0.42,-0.41,1.2
0.14746999740600586,-0.43,-0.38,1.33
0.15776729583740234,-0.46,-0.33,1.45
0.16724729537963867,-0.53,-0.31,1.56
0.17770099639892578,-0.64,-0.28,1.7
0.18810510635375977,-0.74,-0.19,1.92
0.19812512397766113,-0.81,-0.06,2.18
0.20888423919677734,-0.87,0.03,2.39
0.22225713729858398,-0.93,0.06,2.46
0.2281801700592041,-0.99,-0.01,2.38
0.24229097366333008,-1.05,-0.15,2.18
0.2473151683807373,-1.09,-0.31,1.96
0.25792694091796875,-1.12,-0.52,1.78
0.26712703704833984,-1.09,-0.78,1.61
0.27724409103393555,-0.98,-0.99,1.41
0.28777313232421875,-0.79,-1.13,1.23
0.29879212379455566,-0.57,-1.19,1.13
0.30864715576171875,-0.37,-1.14,1.08
0.32144808769226074,-0.24,-0.95,1.1
0.32885122299194336,-0.2,-0.73,1.1
0.34084010124206543,-0.27,-0.68,1.03
0.34709906578063965,-0.38,-0.97,0.93
0.35744428634643555,-0.42,-1.42,0.86
0.3669242858886719,-0.36,-1.87,0.83
0.3780810832977295,-0.2,-2.34,0.87
0.3876781463623047,0.01,-2.78,0.94
0.39852309226989746,0.26,-3.15,1.01
0.4085259437561035,0.38,-3.0,1.01
0.4227752685546875,0.29,-2.14,0.89
0.42884397506713867,-0.07,-1.02,0.69
0.4446260929107666,-0.55,-0.06,0.48
0.44707202911376953,-0.97,0.56,0.36
0.4568641185760498,-1.35,1.1,0.37
0.46711301803588867,-1.67,1.55,0.41
0.4769172668457031,-1.89,1.77,0.46
0.48769307136535645,-1.6,1.92,0.38
0.4973320960998535,-0.61,1.43,0.08
0.5086722373962402,0.36,0.6,-0.28
0.5208840370178223,0.82,0.84,-0.41
0.528264045715332,0.98,1.78,-0.31
0.5407290458679199,1.03,2.65,-0.14
0.5471372604370117,0.99,3.07,-0.0
0.5567591190338135,0.85,3.19,0.1
0.5666742324829102,0.62,2.85,0.14
0.5768222808837891,0.35,1.97,0.1
0.5877499580383301,0.1,1.14,0.0
0.5982310771942139,-0.08,0.81,-0.08
0.6082241535186768,-0.12,0.82,-0.09
0.6213700771331787,-0.03,0.72,-0.03
0.628028154373169,0.05,0.48,0.08
0.644139289855957,0.04,0.24,0.18
0.6467351913452148,-0.04,0.0,0.21
0.6566472053527832,-0.17,-0.17,0.2
0.666560173034668,-0.32,-0.27,0.17
0.6767010688781738,-0.42,-0.36,0.13
0.6865451335906982,-0.45,-0.51,0.07
0.6973462104797363,-0.42,-0.65,0.01
