time,wx,wy,wz
0.007634878158569340,-0.02,-0.27,0.0
0.017537832260131800,0.04,-0.05,0.0
0.030157804489135700,0.07,0.14,-0.01
0.03731870651245120,0.06,0.21,-0.01
0.050020694732666000,0.03,0.16,0.0
0.057324886322021500,0.01,0.05,0.0
0.06862401962280270,0.01,-0.05,0.01
0.07696771621704100,0.01,-0.09,0.0
0.08722782135009770,0.02,-0.06,0.0
0.09973788261413570,0.03,0.01,-0.01
0.10684585571289100,0.03,0.08,-0.01
0.11976003646850600,0.03,0.12,-0.01
0.12698793411254900,0.03,0.12,0.0
0.14211797714233400,0.02,0.09,0.01
0.14931583404541000,0.0,0.06,0.03
0.1567988395690920,-0.02,0.05,0.03
0.16914582252502400,-0.03,0.06,0.03
0.17681598663330100,-0.02,0.08,0.02
0.18680882453918500,0.01,0.11,0.01
0.19774389266967800,0.05,0.13,0.01
0.20896100997924800,0.09,0.13,0.01
0.21961593627929700,0.12,0.12,0.01
0.22777271270752000,0.12,0.09,0.01
0.2386479377746580,0.09,0.05,0.02
0.24617886543273900,0.06,0.02,0.02
0.2571840286254880,0.03,0.0,0.01
0.26844286918640100,0.03,0.01,0.01
0.2767820358276370,0.04,0.02,0.0
0.2859020233154300,0.06,0.05,0.0
0.2987208366394040,0.08,0.08,0.0
0.30893468856811500,0.1,0.09,0.0
0.3177199363708500,0.1,0.07,0.01
0.3289647102355960,0.11,0.03,0.02
0.339447021484375,0.1,-0.02,0.03
0.34612369537353500,0.08,-0.07,0.05
0.36078596115112300,0.04,-0.08,0.06
0.3702878952026370,-0.01,-0.06,0.07
0.376004695892334,-0.05,-0.02,0.07
0.38585996627807600,-0.06,0.03,0.08
0.39635372161865200,-0.06,0.06,0.09
0.4080789089202880,-0.03,0.06,0.1
0.4182429313659670,-0.01,0.05,0.11
0.4258236885070800,-0.02,0.02,0.11
0.43528175354003900,-0.02,0.0,0.11
0.4482259750366210,-0.03,-0.02,0.11
0.4602198600769040,-0.03,-0.04,0.1
0.46723270416259800,-0.01,-0.08,0.1
0.4765489101409910,0.01,-0.11,0.09
0.48540782928466800,0.01,-0.12,0.08
0.4976158142089840,0.01,-0.13,0.07
0.5084447860717770,0.01,-0.12,0.05
