time,wx,wy,wz
0.0067479610443115234,-0.18,-0.14,0.01
0.016787052154541016,-0.09,-0.04,0.02
0.031774044036865234,-0.02,0.0,0.01
0.03828907012939453,0.02,-0.01,-0.01
0.04628801345825195,0.02,-0.02,-0.02
0.057121992111206055,0.01,-0.02,-0.03
0.06625890731811523,-0.01,-0.01,-0.04
0.07626199722290039,-0.03,-0.02,-0.04
0.08642792701721191,-0.05,-0.03,-0.04
0.09610295295715332,-0.06,-0.02,-0.04
0.10673904418945312,-0.07,-0.01,-0.04
0.13309097290039062,-0.05,0.03,-0.04
0.13482093811035156,-0.05,0.03,-0.04
0.13942289352416992,-0.04,0.04,-0.04
0.14560604095458984,-0.03,0.05,-0.03
0.15643000602722168,-0.02,0.05,-0.03
0.16541695594787598,-0.02,0.07,-0.03
0.17552709579467773,-0.01,0.08,-0.03
0.18575191497802734,-0.01,0.09,-0.02
0.19549989700317383,-0.02,0.11,-0.01
0.2059340476989746,-0.03,0.13,0.0
0.23074102401733398,-0.07,0.15,0.03
0.23250794410705566,-0.07,0.15,0.03
0.23585200309753418,-0.09,0.13,0.03
0.24496984481811523,-0.12,0.12,0.04
0.25577211380004883,-0.13,0.13,0.04
0.26511693000793457,-0.12,0.18,0.06
0.2752969264984131,-0.13,0.22,0.07
0.28482794761657715,-0.13,0.26,0.08
0.2950730323791504,-0.14,0.3,0.08
0.3052070140838623,-0.17,0.31,0.09
0.3294668197631836,-0.22,0.34,0.11
0.33123207092285156,-0.22,0.34,0.11
0.3345329761505127,-0.22,0.35,0.12
0.34434080123901367,-0.2,0.39,0.13
0.3555920124053955,-0.18,0.43,0.14
0.3640727996826172,-0.18,0.46,0.15
0.37412595748901367,-0.19,0.49,0.16
0.3844900131225586,-0.23,0.48,0.17
0.39449596405029297,-0.32,0.43,0.16
0.40465593338012695,-0.43,0.43,0.17
0.4293060302734375,-0.54,0.6,0.2
0.4310770034790039,-0.54,0.6,0.2
0.43442702293395996,-0.5,0.78,0.27
0.44376397132873535,-0.41,1.03,0.34
0.4554569721221924,-0.26,1.37,0.41
0.46390581130981445,-0.08,1.71,0.46
0.47379493713378906,0.07,1.92,0.49
0.4834330081939697,0.11,1.81,0.53
0.4942288398742676,-0.08,1.63,0.64
0.5036067962646484,-0.33,1.61,0.79
0.5278019905090332,-0.94,1.79,0.89
0.5295591354370117,-0.94,1.79,0.89
0.5338578224182129,-1.28,1.93,0.95
0.5431609153747559,-1.73,1.82,0.88
0.554379940032959,-2.43,0.97,0.86
0.562899112701416,-2.98,0.57,0.86
0.5733170509338379,-3.33,0.39,0.85
0.5830540657043457,-3.61,0.31,0.98
0.593055009841919,-3.78,0.57,1.2
0.6035969257354736,-3.94,0.93,1.43
0.6299469470977783,-4.12,1.42,1.76
0.6317248344421387,-4.12,1.42,1.76
0.6351828575134277,-4.12,1.39,1.91
0.6425669193267822,-4.17,1.37,1.96
0.6534290313720703,-4.19,1.46,1.91
0.6626579761505127,-4.2,1.61,1.86
0.6725578308105469,-4.08,1.93,1.84
0.682438850402832,-3.8,2.37,1.83
0.6929759979248047,-3.29,2.7,1.92
0.7028579711914062,-2.21,2.12,2.14
0.7142119407653809,-1.15,2.72,2.25
0.7277259826660156,-0.29,3.15,2.2
0.7323861122131348,0.4,3.21,2.11
0.7425470352172852,0.8,3.13,1.97
0.7530231475830078,0.89,2.85,1.82
0.7617290019989014,0.62,2.57,1.6
0.7719078063964844,0.21,2.35,1.31
0.7819890975952148,-0.33,2.09,0.99
0.7918438911437988,-1.0,2.01,0.76
0.8024258613586426,-1.68,2.05,0.61
0.8271241188049316,-2.79,1.81,0.61
0.8289399147033691,-2.79,1.81,0.61
0.8322799205780029,-3.08,1.7,0.57
0.8413801193237305,-3.22,2.1,0.46
0.8520770072937012,-3.11,2.24,0.26
0.8613390922546387,-2.8,2.49,0.02
0.8712990283966064,-2.49,2.79,-0.06
0.8812861442565918,-2.26,2.97,-0.05
0.8914308547973633,-2.14,3.07,0.03
0.9013969898223877,-2.12,3.12,0.02
0.9241318702697754,-2.72,2.93,0.0
0.925879955291748,-2.72,2.93,0.0
0.93072509765625,-3.19,2.99,0.11
0.9408769607543945,-3.65,3.2,0.2
0.9507389068603516,-4.07,3.11,0.25
0.9606919288635254,-4.33,2.71,0.17
0.9708619117736816,-4.35,2.73,-0.07
0.9808199405670166,-4.35,3.37,-0.36
0.9910588264465332,-4.22,3.62,-0.7
1.0011000633239746,-3.79,3.79,-0.95
1.0255188941955566,-2.47,3.5,-0.88
1.0272669792175293,-2.47,3.5,-0.88
1.0323138236999512,-1.77,2.91,-0.68
1.0401411056518555,-1.32,2.25,-0.38
1.051076889038086,-1.24,1.7,-0.05
1.0602130889892578,-1.37,1.23,0.12
1.0699658393859863,-1.58,0.91,0.19
1.0798969268798828,-1.73,0.86,0.19
1.0905218124389648,-2.09,0.68,0.12
1.1006059646606445,-2.6,0.5,0.06
1.1217031478881836,-2.85,0.85,-0.01
1.1234688758850098,-2.85,0.85,-0.01
1.1293859481811523,-3.4,1.2,0.18
1.1393980979919434,-3.99,1.32,0.46
