time,wx,wy,wz
0.0059740543365478516,-0.2,-0.11,-0.09
0.014091014862060547,-0.2,-0.15,-0.12
0.025075197219848633,-0.09,-0.12,-0.13
0.03530716896057129,0.12,-0.12,-0.09
0.0452120304107666,0.39,-0.14,-0.03
0.055036067962646484,0.62,-0.14,0.04
0.06554293632507324,0.74,-0.12,0.06
0.07461190223693848,0.74,-0.08,0.05
0.08534002304077148,0.65,-0.04,0.04
0.09519696235656738,0.49,-0.07,0.02
0.1052849292755127,0.29,-0.08,-0.04
0.11563801765441895,0.09,-0.09,-0.11
0.1250760555267334,-0.05,-0.09,-0.17
0.13565707206726074,-0.12,-0.1,-0.19
0.14445710182189941,-0.12,-0.1,-0.16
0.15502715110778809,-0.06,-0.1,-0.13
0.16523504257202148,0.02,-0.1,-0.11
0.1748969554901123,0.1,-0.09,-0.12
0.1852271556854248,0.18,-0.06,-0.14
0.1950991153717041,0.23,-0.04,-0.14
0.2051079273223877,0.25,-0.05,-0.13
0.2141571044921875,0.25,-0.02,-0.13
0.22361302375793457,0.23,0.0,-0.09
0.23479509353637695,0.17,-0.02,-0.06
0.24467921257019043,0.15,-0.01,-0.07
0.25511908531188965,0.14,-0.04,-0.08
0.264847993850708,0.13,-0.09,-0.11
0.2747929096221924,0.14,-0.08,-0.15
0.2846949100494385,0.15,-0.06,-0.17
0.2935678958892822,0.16,-0.06,-0.11
0.305192232131958,0.2,-0.02,-0.16
0.3147571086883545,0.24,0.06,-0.15
0.3247969150543213,0.29,0.04,-0.12
0.3345050811767578,0.33,0.03,-0.08
0.3449831008911133,0.36,0.05,-0.08
0.3547799587249756,0.37,0.07,-0.1
0.36477112770080566,0.36,0.08,-0.09
0.37441301345825195,0.33,0.07,-0.09
0.3846151828765869,0.3,0.08,-0.09
0.39438509941101074,0.29,0.08,-0.05
0.4034769535064697,0.28,0.0,0.02
0.41358304023742676,0.27,-0.05,0.07
0.42432522773742676,0.25,-0.08,0.05
0.4341771602630615,0.2,-0.05,-0.03
0.44437098503112793,0.14,-0.02,-0.1
0.4546029567718506,0.1,0.02,-0.13
0.4642369747161865,0.08,0.08,-0.11
0.4743781089782715,0.09,0.14,-0.05
0.4834020137786865,0.14,0.17,0.05
0.49469923973083496,0.2,0.14,0.18
0.5043041706085205,0.27,0.12,0.28
0.5145230293273926,0.32,0.11,0.3
0.5245571136474609,0.35,0.13,0.26
0.5327332019805908,0.35,0.13,0.18
0.5444519519805908,0.33,0.12,0.09
0.5541279315948486,0.33,0.1,0.02
0.564284086227417,0.32,0.07,-0.03
0.5742251873016357,0.31,0.06,-0.07
0.584212064743042,0.29,0.04,-0.09
0.5937192440032959,0.26,0.01,-0.08
0.604384183883667,0.24,-0.01,-0.08
0.613781213760376,0.23,-0.0,-0.1
0.6236732006072998,0.23,-0.0,-0.12
0.6340291500091553,0.26,0.02,-0.13
0.6437461376190186,0.3,0.04,-0.13
0.6541759967803955,0.35,0.06,-0.12
0.664154052734375,0.37,0.05,-0.1
0.6728560924530029,0.37,0.03,-0.08
0.6829140186309814,0.35,0.01,-0.06
0.6928379535675049,0.34,-0.01,-0.04
0.704261064529419,0.32,-0.02,-0.04
0.7138979434967041,0.3,-0.01,-0.05
0.7238790988922119,0.29,-0.0,-0.07
0.7323501110076904,0.29,0.0,-0.08
0.7436530590057373,0.3,0.01,-0.08
0.754047155380249,0.32,0.02,-0.08
0.7644951343536377,0.35,0.05,-0.07
0.7731010913848877,0.38,0.08,-0.07
0.7839410305023193,0.42,0.11,-0.06
0.7936210632324219,0.46,0.13,-0.03
0.8041369915008545,0.47,0.15,-0.02
0.8143389225006104,0.37,0.29,-0.03
0.8229382038116455,0.3,0.29,-0.01
0.8334560394287109,0.3,0.11,0.08
0.8441259860992432,0.36,-0.02,0.11
0.8537840843200684,0.44,-0.11,0.07
0.8642780780792236,0.48,-0.13,-0.02
0.8739759922027588,0.47,-0.13,-0.05
0.8947720527648926,0.36,-0.08,0.01
0.8952920436859131,0.36,-0.08,0.01
0.902899980545044,0.31,-0.02,0.03
0.912729024887085,0.3,0.04,0.02
0.9233860969543457,0.31,0.06,0.03
0.9333310127258301,0.33,0.06,0.04
0.942673921585083,0.36,0.05,0.04
0.9526610374450684,0.37,0.04,0.03
0.9631679058074951,0.35,0.05,0.03
0.9733180999755859,0.32,0.06,0.05
0.9919040203094482,0.22,0.03,0.12
0.992807149887085,0.22,0.03,0.12
1.0024259090423584,0.18,0.03,0.12
1.0120151042938232,0.15,0.03,0.1
1.0228281021118164,0.13,0.05,0.1
1.0332119464874268,0.14,0.07,0.1
1.0430099964141846,0.16,0.08,0.12
1.0531620979309082,0.19,0.1,0.15
1.0637471675872803,0.21,0.15,0.19
1.0732240676879883,0.22,0.22,0.24
1.0915391445159912,0.2,0.38,0.39
1.0923240184783936,0.2,0.38,0.39
1.1028010845184326,0.17,0.45,0.54
1.1124000549316406,0.12,0.52,0.71
1.1225669384002686,0.06,0.59,0.89
1.1321251392364502,-0.03,0.64,1.07
1.1433401107788086,-0.13,0.8,1.24
1.1531310081481934,-0.24,1.02,1.4
1.16326904296875,-0.35,1.23,1.61
1.1740810871124268,-0.45,1.45,1.88
1.1952950954437256,-0.53,1.87,2.6
1.1960690021514893,-0.53,1.87,2.6
1.2019422054290771,-0.56,2.06,2.96
1.212467908859253,-0.63,2.15,3.23
1.2224829196929932,-0.71,2.24,3.44
1.232483148574829,-0.77,2.43,3.62
1.242358922958374,-0.79,2.55,3.79
1.2527949810028076,-0.81,2.6,3.91
1.2622859477996826,-0.81,2.66,3.96
1.2722609043121338,-0.81,2.64,3.99
1.2893569469451904,-0.85,2.51,3.99
1.2911279201507568,-0.92,2.41,3.91
1.3015692234039307,-1.0,2.41,3.77
1.311906099319458,-1.11,2.24,3.53
1.322554111480713,-1.18,2.11,3.28
1.3323090076446533,-1.19,2.02,2.99
1.3421399593353271,-1.14,1.97,2.65
1.352898120880127,-1.03,1.82,2.3
1.36301589012146,-0.86,1.59,1.99
1.372676134109497,-0.63,1.44,1.79
1.391258955001831,0.01,1.37,1.87
1.3925931453704834,0.01,1.37,1.87
1.4021542072296143,-0.14,0.75,1.89
1.4117939472198486,-0.3,0.79,1.8
1.4221432209014893,-0.57,0.83,1.72
1.432056188583374,-0.85,0.92,1.83
1.4419329166412354,-0.98,0.84,1.95
1.4523570537567139,-1.17,0.86,1.87
1.4628632068634033,-1.49,0.87,1.65
1.4723610877990723,-1.8,0.54,1.62
1.4906160831451416,-2.4,0.46,1.91
1.49186110496521,-2.4,0.46,1.91
1.5015971660614014,-2.78,0.48,1.94
1.5121371746063232,-3.1,0.4,2.05
1.5216290950775146,-3.34,0.31,2.15
1.5320022106170654,-3.58,0.28,2.04
1.5417559146881104,-3.95,0.47,1.78
1.5525851249694824,-4.08,0.46,1.7
1.563326120376587,-4.02,0.33,1.72
1.57265305519104,-3.77,-0.03,1.79
1.5910232067108154,-3.16,-0.25,1.66
1.5913898944854736,-3.16,-0.25,1.66
1.6016819477081299,-2.92,0.06,1.53
1.6117851734161377,-2.78,0.51,1.45
1.6215951442718506,-2.62,0.97,1.45
1.6318550109863281,-2.34,1.21,1.54
1.6414811611175537,-1.93,1.53,1.67
1.6510522365570068,-1.47,1.84,1.78
1.6622321605682373,-0.94,1.62,1.65
1.6724090576171875,-0.1,0.48,1.42
1.6890161037445068,0.74,0.44,1.06
1.6907598972320557,1.13,1.01,0.71
1.7017362117767334,1.18,1.1,0.47
1.7113001346588135,1.08,0.79,0.34
1.7214341163635254,0.95,0.4,0.34
1.7315270900726318,0.87,0.13,0.37
1.7413010597229004,0.86,0.07,0.3
1.7524092197418213,0.88,0.09,0.19
1.7622671127319336,0.86,0.14,0.13
1.7730340957641602,0.73,0.22,0.13
1.790762186050415,0.2,0.42,0.16
1.7918832302093506,0.2,0.42,0.16
1.8014681339263916,-0.05,0.36,0.18
1.811326026916504,-0.26,0.15,0.14
1.8215081691741943,-0.44,-0.04,0.05
1.8308842182159424,-0.55,-0.18,-0.03
1.8420400619506836,-0.59,-0.23,-0.12
1.8512170314788818,-0.56,-0.1,-0.22
1.8628771305084229,-0.53,0.07,-0.26
1.871920108795166,-0.5,0.19,-0.31
1.8898141384124756,-0.35,0.14,-0.18
1.8908240795135498,-0.35,0.14,-0.18
1.9016430377960205,-0.23,-0.14,-0.12
1.910794973373413,-0.08,-0.5,-0.1
1.9215960502624512,0.07,-0.69,-0.01
1.9310271739959717,0.16,-0.72,-0.01
1.941082239151001,0.17,-0.61,-0.07
1.9517450332641602,0.22,-0.25,-0.04
1.961050033569336,0.27,0.02,-0.02
1.9716341495513916,0.29,0.02,-0.1
1.9911620616912842,0.3,0.06,-0.19
1.9916479587554932,0.3,0.06,-0.19
2.0004100799560547,0.29,0.11,-0.2
2.0117111206054688,0.27,0.13,-0.19
2.0215890407562256,0.24,0.1,-0.16
2.0313720703125,0.17,0.06,-0.14
2.0407931804656982,0.09,0.06,-0.15
2.050920009613037,0.02,0.12,-0.18
2.0617868900299072,-0.05,0.2,-0.22
2.0715250968933105,-0.1,0.27,-0.27
2.090907096862793,-0.14,0.31,-0.32
2.0917398929595947,-0.14,0.31,-0.32
2.1009881496429443,-0.15,0.3,-0.31
2.110774040222168,-0.14,0.34,-0.26
2.1215879917144775,-0.13,0.29,-0.18
2.131012201309204,-0.11,0.18,-0.09
2.1404430866241455,-0.11,0.07,-0.02
2.150529146194458,-0.11,0.01,0.02
2.1623752117156982,-0.14,0.02,0.02
2.172384023666382,-0.17,0.07,0.0
2.1951701641082764,-0.26,0.23,-0.03
2.1956331729888916,-0.26,0.23,-0.03
2.200261116027832,-0.27,0.22,-0.02
2.2101151943206787,-0.27,0.21,0.0
2.221060037612915,-0.26,0.21,0.05
2.2317569255828857,-0.25,0.19,0.08
2.2402870655059814,-0.22,0.2,0.12
2.2512240409851074,-0.2,0.23,0.13
2.26226806640625,-0.18,0.25,0.13
2.2720470428466797,-0.15,0.22,0.13
2.2933480739593506,-0.11,0.13,0.12
2.2937140464782715,-0.11,0.13,0.12
2.300769090652466,-0.09,0.15,0.11
2.309941053390503,-0.07,0.21,0.11
2.320462942123413,-0.08,0.31,0.11
2.331022024154663,-0.09,0.37,0.13
2.341226100921631,-0.1,0.41,0.15
2.3510520458221436,-0.12,0.42,0.18
2.3614161014556885,-0.14,0.43,0.2
2.370474100112915,-0.15,0.45,0.21
