time,wx,wy,wz
0.004555940628051758,-0.34,-0.09,0.14
0.012017965316772461,-0.16,-0.11,0.04
0.022410154342651367,-0.04,-0.11,-0.05
0.03344392776489258,0.04,-0.09,-0.04
0.042634010314941406,0.03,-0.1,0.0
0.054708003997802734,-0.01,-0.09,0.03
0.06452298164367676,-0.06,-0.05,0.05
0.07400393486022949,-0.07,0.01,0.06
0.08637404441833496,-0.01,0.05,0.07
0.09321188926696777,0.08,0.04,0.05
0.1031959056854248,0.17,0.02,0.03
0.11218714714050293,0.22,0.01,0.01
0.12351012229919434,0.21,0.01,-0.01
0.13499999046325684,0.17,-0.0,-0.0
0.1442711353302002,0.12,-0.01,0.01
0.15323996543884277,0.08,-0.02,0.02
0.16414093971252441,0.05,-0.02,0.03
0.17431402206420898,0.04,-0.01,0.03
0.18728995323181152,0.03,0.02,0.03
0.19255709648132324,0.03,0.05,0.02
0.20221686363220215,0.03,0.06,0.02
0.21259403228759766,0.03,0.05,0.02
0.22224211692810059,0.03,0.04,0.02
0.2324841022491455,0.03,0.04,0.02
0.24292302131652832,0.03,0.05,0.02
0.25237584114074707,0.03,0.06,0.02
0.26480793952941895,0.04,0.07,0.02
0.2738158702850342,0.08,0.07,0.03
0.28688788414001465,0.12,0.07,0.03
0.29375386238098145,0.14,0.06,0.03
0.3035309314727783,0.12,0.04,0.04
0.3119170665740967,0.08,0.01,0.04
0.3235039710998535,0.04,0.0,0.05
0.33478593826293945,0.0,0.02,0.06
0.3446991443634033,-0.04,0.06,0.09
0.3544929027557373,-0.07,0.13,0.14
0.3651139736175537,-0.1,0.24,0.2
0.37386584281921387,-0.09,0.33,0.25
0.3876688480377197,-0.04,0.33,0.27
0.3944239616394043,0.06,0.28,0.25
0.4033830165863037,0.17,0.24,0.2
0.41274285316467285,0.26,0.21,0.16
0.4245569705963135,0.32,0.18,0.12
0.43575096130371094,0.33,0.16,0.09
0.44357895851135254,0.3,0.13,0.07
0.4526960849761963,0.24,0.11,0.04
0.46291184425354004,0.13,0.1,0.03
0.4722599983215332,0.03,0.09,0.04
0.48577189445495605,-0.05,0.05,0.06
0.4950721263885498,-0.09,0.02,0.05
0.5048120021820068,-0.08,-0.01,0.02
0.5155651569366455,-0.05,-0.03,-0.01
0.5244050025939941,-0.01,-0.03,-0.04
0.53438401222229,0.01,-0.03,-0.04
0.5454471111297607,-0.01,-0.04,-0.05
0.5544819831848145,-0.03,-0.07,-0.05
0.5646741390228271,-0.04,-0.08,-0.05
0.5747888088226318,-0.07,-0.08,-0.06
0.5867559909820557,-0.1,-0.12,-0.05
0.5953481197357178,-0.13,-0.15,-0.04
0.6032321453094482,-0.14,-0.15,-0.04
0.6132569313049316,-0.14,-0.13,-0.05
0.6238880157470703,-0.14,-0.12,-0.07
0.6348788738250732,-0.12,-0.13,-0.07
0.6449480056762695,-0.09,-0.12,-0.07
0.6549220085144043,-0.07,-0.11,-0.07
0.6653800010681152,-0.04,-0.09,-0.06
0.675123929977417,-0.03,-0.07,-0.05
0.6860630512237549,-0.03,-0.03,-0.05
0.6934859752655029,-0.04,0.0,-0.05
0.7032711505889893,-0.06,0.03,-0.04
0.7147049903869629,-0.09,0.04,-0.02
0.7251319885253906,-0.1,0.03,0.01
0.7342889308929443,-0.11,0.02,0.02
0.7442638874053955,-0.12,0.03,0.01
0.7542400360107422,-0.12,0.04,-0.02
0.7654199600219727,-0.1,0.03,-0.03
0.7751128673553467,-0.07,0.0,-0.03
0.786970853805542,-0.05,-0.01,-0.01
0.7950320243835449,-0.04,0.02,-0.0
0.8044869899749756,-0.06,0.06,0.01
0.8158209323883057,-0.08,0.07,0.03
0.8248908519744873,-0.1,0.06,0.04
0.8358650207519531,-0.11,0.03,0.03
0.8455250263214111,-0.12,0.02,0.01
0.8558261394500732,-0.13,0.03,0.0
0.8640799522399902,-0.13,0.04,0.0
0.8746931552886963,-0.11,0.03,0.01
0.8881771564483643,-0.07,0.01,0.03
0.895305871963501,-0.06,-0.01,0.02
0.9038889408111572,-0.07,-0.02,-0.01
0.9155681133270264,-0.1,-0.01,-0.03
0.9252779483795166,-0.13,0.01,-0.03
0.9345629215240479,-0.14,-0.01,-0.03
0.9445688724517822,-0.09,-0.05,-0.03
0.9552180767059326,-0.01,-0.05,-0.03
0.965878963470459,0.07,-0.04,-0.02
0.9756150245666504,0.14,-0.03,-0.02
0.9886448383331299,0.18,-0.0,-0.01
0.9949150085449219,0.18,0.02,0.01
1.0060360431671143,0.14,0.01,0.02
1.0153679847717285,0.1,-0.01,0.01
1.0247759819030762,0.08,-0.01,-0.0
1.0357811450958252,0.07,-0.01,-0.01
1.0455949306488037,0.06,-0.01,-0.02
1.055678129196167,0.05,-0.01,-0.02
1.0661799907684326,0.01,-0.02,-0.02
1.0750648975372314,-0.02,-0.05,-0.02
1.0875060558319092,-0.03,-0.04,-0.01
1.0954759120941162,-0.01,-0.01,0.0
1.1049368381500244,-0.0,0.01,0.01
1.116412878036499,-0.01,0.02,0.02
1.1257789134979248,-0.03,0.02,0.03
1.1362898349761963,-0.05,0.0,0.04
1.1463279724121094,-0.07,-0.04,0.03
1.1548011302947998,-0.07,-0.04,0.02
1.1658308506011963,-0.05,-0.02,0.02
1.1756041049957275,-0.02,0.0,0.03
1.188750982284546,0.0,0.03,0.02
