time,wx,wy,wz
0.00537109375,-0.63,-0.51,0.12
0.02226114273071289,-0.46,-0.08,0.08
0.024944067001342773,-0.24,0.31,0.05
0.034539222717285156,-0.01,0.56,0.02
0.045150041580200195,0.2,0.67,0.01
0.054537057876586914,0.32,0.56,-0.01
0.06495404243469238,0.41,0.4,-0.0
0.07473111152648926,0.44,0.2,0.01
0.08439111709594727,0.41,-0.02,0.03
0.09767413139343262,0.34,-0.21,0.04
0.10457205772399902,0.23,-0.34,0.05
0.12138605117797852,0.11,-0.39,0.05
0.12459325790405273,0.01,-0.39,0.04
0.13427495956420898,-0.08,-0.33,0.03
0.14443206787109375,-0.15,-0.24,0.02
0.15441322326660156,-0.19,-0.13,0.02
0.16439509391784668,-0.19,-0.01,0.01
0.17439508438110352,-0.16,0.09,0.02
0.1860032081604004,-0.12,0.17,0.02
0.19436120986938477,-0.06,0.18,0.03
0.2071681022644043,-0.01,0.15,0.03
0.22355413436889648,0.07,-0.05,0.03
0.22572898864746094,0.07,-0.05,0.03
0.23401212692260742,0.09,-0.17,0.03
0.24431800842285156,0.1,-0.25,0.03
0.25445008277893066,0.08,-0.3,0.04
0.26411008834838867,0.05,-0.3,0.04
0.27423715591430664,0.02,-0.25,0.06
0.28415393829345703,-0.01,-0.18,0.06
0.2965211868286133,-0.03,-0.11,0.06
0.30788207054138184,-0.05,-0.05,0.05
0.3141169548034668,-0.06,-0.01,0.04
0.32801103591918945,-0.06,0.01,0.02
0.33393406867980957,-0.05,0.03,0.01
0.3441610336303711,-0.03,0.01,-0.0
0.3537330627441406,0.0,-0.02,-0.01
0.36399221420288086,0.04,-0.07,-0.01
0.37404823303222656,0.09,-0.12,-0.0
0.38365697860717773,0.12,-0.13,0.01
0.3963301181793213,0.13,-0.1,0.04
0.40741491317749023,0.12,-0.05,0.06
0.42325925827026367,0.05,0.05,0.07
0.4257941246032715,0.05,0.05,0.07
0.433380126953125,-0.0,0.09,0.07
0.44365501403808594,-0.06,0.11,0.06
0.4533839225769043,-0.11,0.11,0.05
0.46351194381713867,-0.14,0.11,0.04
0.4735722541809082,-0.15,0.1,0.04
0.4851222038269043,-0.15,0.07,0.03
0.493488073348999,-0.12,0.02,0.02
0.5039770603179932,-0.08,-0.03,0.02
0.5203499794006348,-0.01,-0.06,0.0
0.5232560634613037,0.07,-0.07,0.0
0.5333690643310547,0.14,-0.05,0.01
0.5437450408935547,0.2,-0.01,0.02
0.5531630516052246,0.23,0.03,0.04
0.5630090236663818,0.23,0.06,0.06
0.573491096496582,0.18,0.07,0.06
0.5853252410888672,0.1,0.06,0.06
0.5962362289428711,0.0,0.04,0.04
0.6039519309997559,-0.08,0.0,0.03
0.6202340126037598,-0.15,-0.02,0.01
0.6230711936950684,-0.16,-0.03,0.0
0.6330962181091309,-0.15,-0.02,-0.0
0.6434180736541748,-0.11,0.01,0.01
0.6528539657592773,-0.06,0.04,0.02
0.6629271507263184,0.0,0.07,0.03
0.6742360591888428,0.05,0.08,0.04
0.6828911304473877,0.09,0.06,0.05
0.6957039833068848,0.11,0.03,0.06
0.7069249153137207,0.1,-0.02,0.05
0.723689079284668,0.04,-0.07,0.06
0.726128101348877,0.04,-0.07,0.06
0.7326400279998779,-0.01,-0.07,0.06
0.7429981231689453,-0.04,-0.05,0.06
0.7526259422302246,-0.06,-0.02,0.05
0.7627911567687988,-0.08,0.01,0.04
0.7725801467895508,-0.09,0.03,0.04
0.7846760749816895,-0.09,0.02,0.05
0.7940559387207031,-0.08,-0.02,0.07
0.8027360439300537,-0.07,-0.08,0.09
0.8199172019958496,-0.05,-0.13,0.1
0.8226461410522461,-0.03,-0.16,0.11
0.8324830532073975,-0.02,-0.16,0.1
0.842717170715332,-0.01,-0.14,0.09
0.852121114730835,-0.01,-0.09,0.08
0.8624801635742188,-0.01,-0.02,0.06
0.8721952438354492,-0.01,0.05,0.05
0.8827972412109375,-0.01,0.12,0.03
0.894340991973877,-0.01,0.16,0.01
0.9026021957397461,0.0,0.17,0.01
0.9191861152648926,0.02,0.12,0.0
0.9222822189331055,0.02,0.06,0.01
0.9322540760040283,0.03,-0.03,0.02
0.942223072052002,0.03,-0.1,0.03
0.952174186706543,0.03,-0.14,0.05
0.9624121189117432,0.02,-0.12,0.07
0.9727282524108887,0.01,-0.06,0.09
